InputSize,KeyPosition,BinarySearchTime(ns),LinearSearchTime(ns)
50,Start,491,145
50,Middle,198,355
50,End,211,426
100,Start,4902,138
100,Middle,141,168
100,End,117,144
200,Start,137,124
200,Middle,114,134
200,End,118,198
300,Start,116,105
300,Middle,164,219
300,End,163,241
400,Start,117,104
400,Middle,157,290
400,End,128,233
500,Start,115,104
500,Middle,125,268
500,End,149,377
600,Start,124,104
600,Middle,158,323
600,End,140,376
800,Start,157,136
800,Middle,211,409
800,End,185,690
1000,Start,104,61
1000,Middle,83,3990
1000,End,86,1290
2000,Start,168,132
2000,Middle,326,460
2000,End,143,869
5000,Start,147,64
5000,Middle,90,912
5000,End,97,2204
10000,Start,82,58
10000,Middle,80,2550
10000,End,97,5047
15000,Start,80,74
15000,Middle,98,4949
15000,End,81,5153
20000,Start,120,78
20000,Middle,83,3728
20000,End,124,7272
